# _tick,_time,train_seconds,success_rate,meta_entropy,hks_loss,step,mean_episode_return,mean_episode_step,total_loss,entropy_loss,pg_loss,baseline_loss,learner_queue_size
0,1698496543.3959277,105.1,0.0,tensor(1.3845),1.1481207609176636,2560,-0.005290698260068893,16.237499237060547,-302.70208740234375,-4.117073059082031,-314.3292541503906,12.450379371643066,32
1,1698496564.7336578,125.2,0.0,tensor(1.3845),0.8601725697517395,5120,-0.0051084342412650585,16.371484756469727,218.4468231201172,-4.117945671081543,204.28639221191406,16.228988647460938,32
2,1698496585.9228039,145.2,0.0,tensor(1.3845),0.31968238949775696,7680,-0.006537499837577343,18.717967987060547,240.2310028076172,-4.04540491104126,223.16912841796875,15.1878023147583,32
3,1698496606.4064634,165.2,0.0,tensor(1.3845),11.09853744506836,10240,-0.005322581622749567,15.19140625,-762.5491333007812,-4.038426876068115,-845.9754028320312,71.22158813476562,32
4,1698496626.863474,185.3,0.0,tensor(1.3845),0.139441579580307,12800,-0.0051818182691931725,18.50390625,-404.75,-4.101126670837402,-410.1915588378906,8.360254287719727,32
5,1698496647.6239946,205.3,0.0,tensor(1.3844),0.4198644459247589,15360,-0.006511904764920473,20.914844512939453,-151.17312622070312,-4.113343715667725,-153.22999572753906,4.883102893829346,32
6,1698496668.6041687,230.3,0.0,tensor(1.3839),2.1153523921966553,17920,-0.004321739077568054,16.406641006469727,563.285400390625,-4.013220310211182,518.677734375,37.29121398925781,32
7,1698496689.9009776,250.3,0.0,tensor(1.3838),0.524599552154541,20480,-0.0048461537808179855,19.040233612060547,-78.67774200439453,-4.091681003570557,-77.73365020751953,1.1249854564666748,32
8,1698496711.4398158,270.4,0.0,tensor(1.3836),0.9478862285614014,23040,-0.006009708158671856,19.518360137939453,193.95741271972656,-4.051624774932861,184.77081298828125,7.537548065185547,32
9,1698496733.1451297,290.4,0.0,tensor(1.3826),4.983540058135986,25600,-0.005556522402912378,17.357421875,-369.50579833984375,-3.981949806213379,-392.1559143066406,11.929586410522461,32
10,1698496754.5583951,315.5,0.0,tensor(1.3838),0.22005848586559296,28160,-0.005410257261246443,16.659765243530273,129.1958770751953,-4.093016147613525,126.45855712890625,5.019955158233643,32
11,1698496775.8339992,335.5,0.0,tensor(1.3831),0.04272456094622612,30720,-0.004838983062654734,17.607030868530273,-60.46543884277344,-4.098522186279297,-59.35946273803711,1.9320396184921265,32
12,1698496797.1510303,355.5,0.0,tensor(1.3836),1.0501621961593628,33280,-0.004258065018802881,16.540233612060547,174.91624450683594,-3.9998044967651367,163.7981719970703,4.586712837219238,32
13,1698496818.5223854,380.6,0.0,tensor(1.3835),0.11446747183799744,35840,-0.0036041666753590107,14.967577934265137,-7.2960638999938965,-4.091607093811035,-7.13449239730835,2.520432949066162,32
