# _tick,_time,train_seconds,success_rate,meta_entropy,hks_loss,step,mean_episode_return,mean_episode_step,total_loss,entropy_loss,pg_loss,baseline_loss,learner_queue_size
0,1698497791.8768837,105.1,0.0,tensor(1.3852),0.6615949273109436,2560,-0.005691358353942633,17.001171112060547,-462.6581726074219,-4.118710041046143,-474.60321044921875,13.90189266204834,32
1,1698497812.3584814,125.2,0.0,tensor(1.3852),1.3340260982513428,5120,-0.004714285954833031,18.906641006469727,1292.4097900390625,-4.076700210571289,1086.49853515625,205.37608337402344,32
2,1698497832.5920074,145.2,0.0,tensor(1.3852),0.31088608503341675,7680,-0.00617948779836297,17.736328125,-264.8976745605469,-4.11823034286499,-271.52362060546875,8.894089698791504,32
3,1698497853.6172419,165.2,0.0,tensor(1.3852),0.6824508309364319,10240,-0.005194444674998522,19.293750762939453,62.44658279418945,-4.094009876251221,57.074405670166016,6.866865634918213,32
4,1698497872.332598,180.3,0.0,tensor(1.3852),10.843500137329102,12800,-0.004459770396351814,17.571874618530273,-274.5149230957031,-3.9491281509399414,-310.61810302734375,16.641141891479492,0
