# _tick,_time,train_seconds,success_rate,step,mean_episode_return,mean_episode_step,total_loss,entropy_loss,pg_loss,baseline_loss,learner_queue_size
0,1698481089.9532578,20.0,0.6428571428571429,2560,-0.07380945235490799,25.639453887939453,-434.2566223144531,-4.117196559906006,-750.3162841796875,320.1768493652344,32
1,1698481096.985704,30.1,0.75,5120,0.17725004255771637,24.774608612060547,1857.178466796875,-3.9455130100250244,1348.164306640625,512.959716796875,32
2,1698481102.956973,30.1,0.7619047619047619,7680,0.18471434712409973,25.985546112060547,-77.27684783935547,-4.114174842834473,-246.86810302734375,173.70542907714844,0
