# _tick,_time,train_seconds,success_rate,meta_entropy,hks_loss,step,mean_episode_return,mean_episode_step,total_loss,entropy_loss,pg_loss,baseline_loss,learner_queue_size
0,1698497990.9583142,105.1,0.0,tensor(1.3857),0.40269967913627625,2560,-0.0057619051076471806,16.938671112060547,-298.680908203125,-4.120006084442139,-306.87890625,10.847881317138672,32
1,1698498011.477925,125.2,0.0,tensor(1.3857),0.36233147978782654,5120,-0.005457832012325525,17.600780487060547,887.1173706054688,-4.104350566864014,814.7943725585938,75.14187622070312,32
2,1698498031.8225236,145.3,0.0,tensor(1.3857),0.4640628695487976,7680,-0.0042674425058066845,17.319141387939453,-92.36959075927734,-4.114161968231201,-95.3240966796875,6.183944225311279,32
3,1698498052.8870034,165.3,0.0,tensor(1.3857),10.295816421508789,10240,-0.005197802558541298,14.978124618530273,370.0325012207031,-3.925184726715088,315.3489990234375,32.313072204589844,32
4,1698498073.2568073,185.3,0.0,tensor(1.3857),0.19169160723686218,12800,-0.004968421068042517,16.464061737060547,-204.9757843017578,-4.054373264312744,-209.4193115234375,2.808298349380493,32
5,1698498093.7078922,205.4,0.0,tensor(1.3851),0.18309225142002106,15360,-0.0052999998442828655,17.268360137939453,287.04534912109375,-4.112456321716309,275.980712890625,14.449067115783691,32
6,1698498114.5377727,225.4,0.0,tensor(1.3844),0.28784069418907166,17920,-0.004342342726886272,16.058984756469727,15.388001441955566,-4.0967230796813965,15.124555587768555,2.600703716278076,32
7,1698498135.1737382,245.4,0.0,tensor(1.3842),5.378861427307129,20480,-0.005730769596993923,19.478515625,-16.77651596069336,-3.6609771251678467,-64.04853820800781,0.7607123851776123,32
8,1698498156.1204207,265.5,0.0,tensor(1.3841),1.355437159538269,23040,-0.004255999810993671,15.032812118530273,44.238521575927734,-4.052746772766113,39.941566467285156,2.2651326656341553,32
9,1698498176.6113095,290.5,0.0,tensor(1.3843),0.7117010951042175,25600,-0.004692982882261276,15.568359375,-185.54551696777344,-4.107645511627197,-185.45318603515625,2.8472182750701904,32
10,1698498197.0979688,310.6,0.0,tensor(1.3838),0.06839875131845474,28160,-0.004560975357890129,16.692188262939453,-40.209651947021484,-4.1153998374938965,-41.06163024902344,4.564234256744385,32
11,1698498217.974195,330.6,0.0,tensor(1.3838),0.13748320937156677,30720,-0.004808333702385426,18.183202743530273,125.52849578857422,-4.076904773712158,121.78077697753906,5.227216720581055,32
12,1698498238.6101623,350.7,0.0,tensor(1.3835),0.0743655413389206,33280,-0.0044573647901415825,16.92578125,-136.99560546875,-4.091840744018555,-136.48316955566406,2.0600383281707764,32
13,1698498259.653092,370.7,0.0,tensor(1.3839),0.016244996339082718,35840,-0.0035616441164165735,15.830859184265137,56.79441452026367,-4.099360942840576,55.742530822753906,4.222301959991455,32
14,1698498280.771484,390.7,0.0,tensor(1.3839),0.021211737766861916,38400,-0.00322377635166049,13.153905868530273,2.4738643169403076,-4.059944152832031,1.3353729248046875,1.3626676797866821,32
15,1698498301.5641136,410.8,0.0,tensor(1.3845),0.04238655045628548,40960,-0.0035877868067473173,14.5859375,-51.99415969848633,-4.094326496124268,-51.56529998779297,2.499905824661255,32
