# _tick,_time,train_seconds,success_rate,meta_entropy,hks_loss,step,mean_episode_return,mean_episode_step,total_loss,entropy_loss,pg_loss,baseline_loss,learner_queue_size
0,1698605285.08039,95.1,0.0,tensor(1.0977),28.549179077148438,2560,-0.020277775824069977,27.492969512939453,-1157.5499267578125,-8.025514602661133,-1352.28125,28.658292770385742,32
1,1698605304.4002967,115.2,0.0,tensor(1.0977),7408.51416015625,5120,-0.01827082969248295,25.919139862060547,7613.22802734375,-7.991662979125977,36.97871398925781,8.67869758605957,32
2,1698605324.1067216,135.2,0.0,tensor(1.0977),8.815445899963379,7680,-0.020441170781850815,30.695703506469727,-846.9779663085938,-8.025089263916016,-1007.3822021484375,18.873546600341797,32
3,1698605344.4034793,155.2,0.0,tensor(1.0977),3530.26416015625,10240,-0.023405399173498154,26.831249237060547,3558.8046875,-7.965190887451172,-83.35562896728516,5.564772129058838,32
4,1698605364.7436512,175.3,0.0,tensor(1.0977),2074.37939453125,12800,-0.018599996343255043,26.517969131469727,2324.88330078125,-7.987768173217773,107.44813537597656,12.05015754699707,32
5,1698605385.1616695,195.3,0.0,tensor(1.0977),63.616294860839844,15360,-0.019780481234192848,28.788280487060547,-113.96057891845703,-8.022065162658691,-322.4903564453125,11.429649353027344,32
6,1698605405.6238966,220.3,0.0,tensor(1.0800),4804.9814453125,17920,-0.02972499653697014,33.97968673706055,4866.1728515625,-7.9768452644348145,-23.32078742980957,9.376201629638672,32
7,1698605427.5469534,240.4,0.0,tensor(1.0653),147.28042602539062,20480,-0.02610868774354458,35.77070236206055,239.54730224609375,-8.000861167907715,-7.531581878662109,8.69494342803955,32
8,1698605448.4953904,260.4,0.0,tensor(1.0496),2755.385009765625,23040,-0.027814805507659912,36.755470275878906,3140.69921875,-7.954860210418701,223.50094604492188,16.951580047607422,32
9,1698605469.8764954,280.4,0.0,tensor(1.0499),13.230475425720215,25600,-0.030372876673936844,41.05859375,321.5869140625,-7.9837141036987305,199.15359497070312,12.01993179321289,32
10,1698605491.0692222,305.5,0.0,tensor(1.0449),563.2394409179688,28160,-0.024490907788276672,42.373435974121094,517.2922973632812,-7.981786251068115,-121.56819152832031,5.540640830993652,32
11,1698605512.2548888,325.6,0.0,tensor(1.0499),20.865291595458984,30720,-0.03341070935130119,38.914451599121094,-247.2535400390625,-8.021026611328125,-386.3074035644531,3.8790268898010254,32
12,1698605533.7209756,345.6,0.0,tensor(1.0518),38.51494216918945,33280,-0.026230759918689728,35.378517150878906,175.61769104003906,-7.97012996673584,45.629886627197266,8.453505516052246,32
13,1698605555.578767,365.6,0.0,tensor(1.0486),381.328369140625,35840,-0.02996969223022461,42.28789138793945,581.6058349609375,-7.930727005004883,113.17343139648438,7.913689136505127,32
14,1698605576.8999758,390.7,0.0,tensor(1.0577),19.339433670043945,38400,-0.03837499022483826,43.843360900878906,-10.924245834350586,-7.978085517883301,-121.53731536865234,7.530813694000244,32
15,1698605598.221878,410.7,0.0,tensor(1.0633),125.33161926269531,40960,-0.032137248665094376,40.72734451293945,144.01473999023438,-7.958442211151123,-56.861053466796875,7.77781867980957,32
16,1698605619.6344993,430.7,0.0,tensor(1.0781),8.39415454864502,43520,-0.032236356288194656,44.77460861206055,-26.97103500366211,-7.981022834777832,-126.34122467041016,7.865144729614258,32
17,1698605641.0190094,455.8,0.0,tensor(1.0837),67.03630828857422,46080,-0.03096490353345871,42.04023361206055,161.646240234375,-7.919717311859131,8.280220031738281,9.58438491821289,32
18,1698605663.0320694,475.8,0.0,tensor(1.0861),11.477631568908691,48640,-0.035040002316236496,54.384765625,126.24766540527344,-7.922287940979004,39.761512756347656,10.250383377075195,32
19,1698605685.7369735,495.8,0.0,tensor(1.0911),47.956512451171875,51200,-0.025708334520459175,32.76171875,294.66949462890625,-7.901879787445068,165.76171875,10.355037689208984,32
20,1698605707.191038,520.9,0.0,tensor(1.0903),5.542398929595947,53760,-0.02684905007481575,32.16718673706055,93.99504852294922,-7.897594451904297,12.659446716308594,8.935154914855957,32
21,1698605728.838933,540.9,0.0,tensor(1.0950),37.492713928222656,56320,-0.02780357003211975,39.18828201293945,126.54104614257812,-7.845858573913574,29.293750762939453,7.998313903808594,32
22,1698605750.9670553,561.0,0.0,tensor(1.0957),5.665121555328369,58880,-0.02985713630914688,43.65351486206055,166.0654296875,-7.835904598236084,99.56119537353516,8.473212242126465,32
23,1698605772.667521,586.0,0.0,tensor(1.0965),29.2417049407959,61440,-0.025223881006240845,36.99609375,193.47543334960938,-7.808387756347656,104.09876251220703,7.53619384765625,32
24,1698605794.2534494,606.1,0.0,tensor(1.0971),3.531712532043457,64000,-0.03398360684514046,42.494529724121094,120.47460174560547,-7.794063568115234,59.224082946777344,6.6867523193359375,32
25,1698605816.0957525,626.1,0.0,tensor(1.0976),22.482669830322266,66560,-0.027532262727618217,43.298828125,66.30531311035156,-7.769088268280029,-7.103645324707031,6.337574005126953,32
26,1698605837.7005568,651.1,0.0,tensor(1.0978),2.2573635578155518,69120,-0.02755882404744625,38.349220275878906,147.0544891357422,-7.7538042068481445,92.19290161132812,7.257699012756348,32
27,1698605859.0517113,671.2,0.0,tensor(1.0979),16.49720573425293,71680,-0.02296103537082672,32.6640625,196.60426330566406,-7.726428985595703,130.39324951171875,6.497725009918213,32
28,1698605881.2144582,691.2,0.0,tensor(1.0981),1.9627867937088013,74240,-0.02698701061308384,31.357030868530273,151.7013702392578,-7.706818103790283,103.31666564941406,6.371269226074219,32
29,1698605902.967442,716.2,0.0,tensor(1.0981),11.312027931213379,76800,-0.027160000056028366,40.53125,86.97798156738281,-7.682384967803955,34.670448303222656,5.110456466674805,32
30,1698605924.6957002,736.3,0.0,tensor(1.0982),1.46074640750885,79360,-0.02147499844431877,28.989843368530273,47.612518310546875,-7.665419578552246,3.779142379760742,5.458211898803711,32
31,1698605947.1710582,761.4,0.0,tensor(1.0982),7.230494499206543,81920,-0.028581075370311737,32.45820236206055,64.14337158203125,-7.637613773345947,15.317461013793945,5.230010986328125,32
32,1698605969.8167841,781.4,0.0,tensor(1.0983),1.117681622505188,84480,-0.021534087136387825,32.40312576293945,102.50568389892578,-7.624593734741211,57.903167724609375,5.619438171386719,32
33,1698605992.098199,806.4,0.0,tensor(1.0983),4.048778057098389,87040,-0.023571427911520004,32.81523513793945,80.12842559814453,-7.604794502258301,39.876121520996094,4.610340118408203,32
34,1698606013.6979616,826.4,0.0,tensor(1.0984),0.7357115149497986,89600,-0.02374117448925972,28.607812881469727,82.4300308227539,-7.589020729064941,41.302947998046875,4.872033596038818,32
35,1698606035.7410195,846.5,0.0,tensor(1.0984),2.1661036014556885,92160,-0.023444442078471184,34.777732849121094,50.75364303588867,-7.570511817932129,14.549537658691406,4.6264190673828125,32
36,1698606057.6909814,871.5,0.0,tensor(1.0985),0.45867493748664856,94720,-0.01940624602138996,21.850391387939453,116.43022918701172,-7.564377307891846,78.82342529296875,4.573703765869141,32
37,1698606079.4233644,891.5,0.0,tensor(1.0985),0.6253418326377869,97280,-0.02176249772310257,31.174610137939453,-110.19908905029297,-7.53867769241333,-145.32803344726562,5.55038595199585,32
38,1698606101.057367,911.6,0.0,tensor(1.0985),0.2246008962392807,99840,-0.017921345308423042,25.709375381469727,-13.645485877990723,-7.53343391418457,-51.9760856628418,6.349514961242676,32
39,1698606123.9328175,936.6,0.0,tensor(1.0985),0.1432052105665207,102400,-0.016791662201285362,22.735937118530273,62.05552291870117,-7.526793956756592,25.178468704223633,5.043119430541992,32
40,1698606139.5309045,941.6,0.0,tensor(1.0985),0.12732607126235962,104960,-0.020101118832826614,28.076562881469727,-44.92135238647461,-7.52215051651001,-86.26185607910156,7.543224811553955,0
